car_name,model,mileage(Km),year,condition,price(₦)
Lexus,Rx,163266,2004,NigerianUsed,2586000
Porsche,Cayenne,141913,2008,NigerianUsed,4250000
Toyota,Avalon,109986,2013,ForeignUsed,8186000
Honda,Civic,169455,2006,NigerianUsed,906000
Kia,Cerato,172580,2009,NigerianUsed,1130000
Honda,Pilot,332437,2003,NigerianUsed,1410000
Toyota,Avalon,307778,2005,NigerianUsed,1578000
Toyota,Highlander,194634,2007,NigerianUsed,2810000
Kia,Rio,92760,2007,NigerianUsed,514000
Nissan,Qashqai,26430,2016,NigerianUsed,4714000
Hyundai,Tucson,106008,2012,NigerianUsed,2978000
Mercedes-Benz,GL450,7157,2009,ForeignUsed,6730000
Mercedes-Benz,Ml350,63439,2013,NigerianUsed,10090000
Toyota,Land,98358,2007,NigerianUsed,6170000
Audi,Q5,187884,2012,NigerianUsed,6730000
Peugeot,607,236964,2004,NigerianUsed,1186000
Nissan,Pathfinder,96772,2006,NigerianUsed,1130000
Ford,Edge,177484,2008,NigerianUsed,2810000
Infiniti,FX35,183999,2009,ForeignUsed,5610000
Toyota,Camry,96337,2006,ForeignUsed,2362000
Toyota,Camry,511333,2013,ForeignUsed,4826000
Hyundai,Creta,40382,2017,NigerianUsed,7178000
Toyota,Rav4,108543,2007,NigerianUsed,2698000
Toyota,Highlander,135945,2007,NigerianUsed,2250000
Mercedes-Benz,E350,122560,2010,ForeignUsed,6506000
Ford,Edge,131981,2010,NigerianUsed,2250000
Ford,Edge,92016,2012,NigerianUsed,3258000
Kia,Cerato,53255,2013,NigerianUsed,2586000
Ford,Focus,296361,2002,NigerianUsed,850000
Mercedes-Benz,C230,152004,2006,ForeignUsed,3370000
Toyota,Avalon,12745,2007,ForeignUsed,2810000
Hyundai,Elantra,82103,2014,NigerianUsed,2810000
Hyundai,H1,78901,2011,NigerianUsed,3370000
Mercedes-Benz,Ml350,104352,2012,ForeignUsed,10650000
Ford,Edge,163121,2007,NigerianUsed,2250000
Mercedes-Benz,Ml320,218792,2001,NigerianUsed,794000
Honda,Accord,116388,2007,NigerianUsed,1354000
Mercedes-Benz,GLK,49817,2009,NigerianUsed,5162000
Toyota,Avalon,249797,2007,ForeignUsed,3370000
